,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
1536.HK,煜荣集团,,0.236,,,0.169,456000000,145316000,,77064000
1538.HK,中奥到家,,,2.5,,0.305,854550000,219664700,7.196721311,260637750
1539.HK,知行集团控股,,0.64,,,0.415,3444111548,111438512,,1429306292
1540.HK,澳狮环球,,,,,0.46,498671823,191066869,,229389038.6
1541.HK,宜明昂科-B,1,,,,6.11,407307695,103989464,,2488650016
1542.HK,台州水务,,,,,2.15,200000000,25501000,,430000000
1543.HK,中盈盛达融资担保,,,,,0.52,1560792687,293403334,,811612197.2
1545.HK,设计都会,,,,,0.07,2000000000,500000000,,140000000
1546.HK,德莱建业,,0.124,0.124,0.124,0.057,800000000,220000000,1.175438596,45600000
1547.HK,IBI GROUP HLDGS,,,,,0.234,800000000,200000000,,187200000
0780.HK,同程旅行,23,21.4113,22.9739,23.1781,18.98,2326136527,1418494557,21.04%," 44,150,071,282 "
1549.HK,永丰集团控股,,,,,0.115,1550000000,477668001,,178250000
0101.HK,恒隆地产,2,7.67,7.6217,5.5,6.31,4783681530,1703703956,20.79%," 30,185,030,454 "
1552.HK,BHCC HOLDING,,,,,0.121,800000000,200000000,,96800000
1553.HK,迈科管业,,,,,1.5,433800000,116738000,,650700000
1555.HK,MI能源,,,,,0.023,3386525510,1914225510,,77890086.73
1556.HK,建业建荣,,0.312,,0.312,0.26,1500000000,382500000,,390000000
1557.HK,剑虹集团控股,,,,,0.14,480000000,180000000,,67200000
2362.HK,金川国际,,0.64,0.64,,0.53,12502082051,3827512674,20.75%," 6,626,103,487 "
1559.HK,均安控股,,,,,0.101,1869159962,829703712,,188785156.2
1560.HK,星星集团,,,,,0.143,641498000,161138000,,91734214
